site_reach,field_date,pH,temperature,raw_ammonia_mg_N_L
EEL-4S,6/20/2023,8.11,19,0.0064
EEL-BUG,6/20/2023,8.09,19.7,0.0073
EEL-3UP,6/20/2023,8.19,21.1,0.0048
EEL-2UP,6/20/2023,8.36,22,0.0058
EEL-STH,6/25/2023,7.87,17.2,0.0064
EEL-4S,6/25/2023,8.33,21.1,0.0053
EEL-BUG,6/25/2023,8.16,22.3,0.0094
EEL-3UP,6/25/2023,8.32,22.7,0.0062
EEL-2UP,6/25/2023,8.34,23.5,0.0062
SAL-4S,6/28/2023,7.81,16.1,0.0048
SAL-3UP,6/28/2023,7.82,16.8,0.0038
SAL-2UP,6/28/2023,8.12,17.4,0.001
EEL-STH,7/3/2023,7.84,21.5,0.0066
EEL-4S,7/3/2023,8.4,25.8,0.001
EEL-BUG,7/3/2023,8.16,26.5,0.0081
EEL-3UP,7/3/2023,8.39,27.5,0.0045
EEL-2UP,7/3/2023,8.27,29.2,0.0049
EEL-4S,7/10/2023,8.19,21.7,0.001
EEL-BUG,7/10/2023,8.13,22.2,0.001
EEL-3UP,7/10/2023,8.21,23.6,0.001
EEL-2UP,7/10/2023,8.49,25,0.001
EEL-STH,7/11/2023,7.99,20.2,0.001
SAL-4S,7/13/2023,7.81,18.7,0.005
SAL-3UP,7/13/2023,7.93,19.3,0.005
SAL-2UP,7/13/2023,8.01,19.9,0.0044
EEL-STH,7/17/2023,7.92,22.2,0.001
EEL-4S,7/17/2023,8.5,23.5,0.001
EEL-BUG,7/17/2023,8.25,24.1,0.0089
EEL-3UP,7/17/2023,8.45,25,0.001
EEL-2UP,7/17/2023,8.54,26.2,0.0021
EEL-STH,7/24/2023,8.04,21.8,0.0024
EEL-4S,7/24/2023,8.66,23.4,0.001
EEL-BUG,7/24/2023,8.3,24,0.001
EEL-3UP,7/24/2023,8.63,24.5,0.0045
EEL-2UP,7/24/2023,8.68,26.4,0.001
SAL-4S,7/27/2023,7.82,20.3,0.0049
SAL-3UP,7/27/2023,7.95,20.6,0.001
SAL-2UP,7/27/2023,7.94,21.6,0.0028
EEL-STH,7/31/2023,7.93,21.3,0.0024
EEL-4S,7/31/2023,8.5,23,0.0033
EEL-BUG,7/31/2023,8.33,23.7,0.001
EEL-3UP,7/31/2023,8.39,23.6,0.0046
EEL-2UP,7/31/2023,8.48,25.3,0.0054
EEL-STH,8/7/2023,7.91,22.1,0.0104
EEL-4S,8/7/2023,8.25,23.5,0.0066
EEL-BUG,8/7/2023,8.33,24.1,0.0055
EEL-3UP,8/7/2023,8.23,24.3,0.0066
EEL-2UP,8/7/2023,8.52,26.1,0.0047
SAL-4S,8/10/2023,7.9,20.6,0.0035
SAL-3UP,8/10/2023,7.92,20.9,0.003
SAL-2UP,8/10/2023,7.75,22,0.0046
EEL-STH,8/14/2023,7.9,22.7,0.0074
EEL-4S,8/14/2023,8.14,25.6,0.0067
EEL-BUG,8/14/2023,8.15,26.6,0.0038
EEL-3UP,8/14/2023,8.18,27.2,0.0062
EEL-2UP,8/14/2023,8.34,28.9,0.0051
EEL-STH,8/22/2023,7.88,21.1,0.0047
EEL-4S,8/22/2023,7.9,23.1,0.0099
EEL-BUG,8/22/2023,8.08,23.1,0.02
EEL-3UP,8/22/2023,8.02,23.5,0.001
EEL-2UP,8/22/2023,8.32,25.5,0.0074
EEL-STH,8/28/2023,7.98,20.6,0.0041
EEL-4S,8/28/2023,8.02,22.9,0.0074
EEL-BUG,8/28/2023,8.1,22.5,0.006
EEL-3UP,8/28/2023,8.12,23.3,0.0055
EEL-2UP,8/28/2023,8.16,24.6,0.0054
EEL-STH,9/4/2023,8.02,19.7,0.0087
EEL-4S,9/4/2023,7.96,21.5,0.0073
EEL-BUG,9/4/2023,8.06,22.1,0.0073
EEL-3UP,9/4/2023,7.97,22.8,0.0066
EEL-2UP,9/4/2023,8.25,23.8,0.0056
EEL-STH,9/12/2023,7.98,19.3,0.001
EEL-4S,9/12/2023,7.94,21.4,0.008
EEL-BUG,9/12/2023,8.18,22.1,0.0078
EEL-3UP,9/12/2023,8.13,21.3,0.009
EEL-2UP,9/12/2023,8.17,23.1,0.0066
EEL-STH,9/18/2023,7.97,19.9,0.0062
EEL-4S,9/18/2023,7.91,21.9,0.016
EEL-BUG,9/18/2023,8.07,22.5,0.008
EEL-3UP,9/18/2023,8.08,23.1,0.006
EEL-2UP,9/18/2023,8.04,24.6,0.0109
EEL-STH,9/24/2023,7.95,17.6,0.007
EEL-4S,9/24/2023,7.94,19.2,0.0071
EEL-BUG,9/24/2023,8.1,19.1,0.0083
EEL-3UP,9/24/2023,8.15,19.2,0.0076
EEL-2UP,9/24/2023,8.25,19.7,0.0085
