"site_reach","field_date","ammonium_mg_N_L"
"RUS-4S","6/24/2022",0.0025309234402727
"SAL-4S","6/27/2022",0.0131268494175832
"SAL-2UP","6/27/2022",0.00797206683416948
"EEL-4S","6/29/2022",0.00730892261928217
"EEL-3UP","6/29/2022",0.00788237773641572
"EEL-2UP","6/29/2022",0.00500158580245469
"RUS-4S","7/6/2022",0.00636700236975352
"RUS-3UP","7/6/2022",0.00569950490485494
"RUS-2UP","7/7/2022",0.00600457004996048
"SAL-4S","7/12/2022",0.014091182793366
"SAL-3UP","7/12/2022",0.0102596517378374
"SAL-2UP","7/12/2022",0.0137413777691841
"EEL-4S","7/14/2022",0.00462686832663613
"EEL-3UP","7/14/2022",0.00515624431746709
"EEL-2UP","7/14/2022",0.00446544889217429
"RUS-4S","7/20/2022",0.00625301805327378
"RUS-3UP","7/20/2022",0.00411441619071439
"RUS-2UP","7/20/2022",0.00245309168763461
"SAL-4S","7/26/2022",0.00742638079724187
"SAL-3UP","7/26/2022",0.00808704326889981
"SAL-2UP","7/26/2022",0.00792115938591331
"EEL-4S","7/28/2022",0.00291420008193352
"EEL-3UP","7/28/2022",0.00334891510021302
"EEL-2UP","7/28/2022",0.00337693670616438
"RUS-4S","8/2/2022",0.00483946656376307
"RUS-3UP","8/2/2022",0.0124602647663468
"RUS-2UP","8/2/2022",0.00720964984170229
"EEL-4S","8/10/2022",0.0481638812236646
"EEL-3UP","8/10/2022",0.0627080114559572
"EEL-2UP","8/10/2022",0.00906728866014439
"RUS-4S","8/17/2022",0.0333908738512892
"RUS-3UP","8/17/2022",0.0154112081532994
"RUS-2UP","8/17/2022",0.00691346826107475
"EEL-4S","8/23/2022",0.00765699269674668
"EEL-3UP","8/23/2022",0.00769110897909694
"EEL-2UP","8/23/2022",0.00796374918124057
"RUS-4S","9/1/2022",0.00842283728657578
"RUS-3UP","9/1/2022",0.0074704283223912
"RUS-2UP","9/1/2022",0.00483551108876469
"EEL-4S","9/6/2022",0.00868261875276959
"EEL-3UP","9/6/2022",0.00664009601748314
"EEL-2UP","9/6/2022",0.0112002382255493
"RUS-4S","9/15/2022",0.00782573097587352
"RUS-3UP","9/15/2022",0.00885185205006433
"RUS-2UP","9/15/2022",0.00768844292296709
"EEL-4S","9/17/2022",0.00694035005555178
"EEL-3UP","9/17/2022",0.00769277956263002
"EEL-2UP","9/17/2022",0.0103260509521464
"SAL-4S","9/22/2022",0.00875642297434373
"SAL-3UP","9/22/2022",0.0117686378036669
"SAL-2UP","9/22/2022",0.0128532894563179
